soc_code,soc_title,sub_code,skill_level,sub_title,robots_1980_2000,robots_2000_2020,AI_1980_2000,AI_2000_2020,robots_all,ai_all
1115,CHIEF EXECUTIVES AND SENIOR OFFICIALS,11,Level 4,Corporate managers and directors,8856,24382,1161,18038,33238,19199
1116,ELECTED OFFICERS AND REPRESENTATIVES,11,Level 4,Corporate managers and directors,4171,5330,522,3021,9501,3543
1121,PRODUCTION MANAGERS AND DIRECTORS IN MANUFACTURING,11,Level 4,Corporate managers and directors,28445,69422,1301,15022,97867,16323
1122,PRODUCTION MANAGERS AND DIRECTORS IN CONSTRUCTION,11,Level 4,Corporate managers and directors,16258,58528,715,9828,74786,10543
1123,PRODUCTION MANAGERS AND DIRECTORS IN MINING AND ENERGY,11,Level 4,Corporate managers and directors,48788,141867,1721,21393,190655,23114
1131,FINANCIAL MANAGERS AND DIRECTORS,11,Level 4,Corporate managers and directors,2652,5910,390,6611,8562,7001
1132,MARKETING AND SALES DIRECTORS,11,Level 4,Corporate managers and directors,6275,16377,410,7625,22652,8035
1133,PURCHASING MANAGERS AND DIRECTORS,11,Level 4,Corporate managers and directors,10298,31295,853,10053,41593,10906
1134,ADVERTISING AND PUBLIC RELATIONS DIRECTORS,11,Level 4,Corporate managers and directors,10976,43100,2430,55514,54076,57944
1135,HUMAN RESOURCE MANAGERS AND DIRECTORS,11,Level 4,Corporate managers and directors,13517,26769,1331,11894,40286,13225
1136,INFORMATION TECHNOLOGY AND TELECOMMUNICATIONS DIRECTORS,11,Level 4,Corporate managers and directors,8950,49520,3125,49281,58470,52406
1139,FUNCTIONAL MANAGERS AND DIRECTORS N.E.C.,11,Level 4,Corporate managers and directors,6443,11648,577,4669,18091,5246
1150,FINANCIAL INSTITUTION MANAGERS AND DIRECTORS,11,Level 4,Corporate managers and directors,6309,6519,636,4539,12828,5175
1161,MANAGERS AND DIRECTORS IN TRANSPORT AND DISTRIBUTION,11,Level 4,Corporate managers and directors,27531,83950,1336,15560,111481,16896
1162,MANAGERS AND DIRECTORS IN STORAGE AND WAREHOUSING,11,Level 4,Corporate managers and directors,19786,48616,1013,14541,68402,15554
1171,OFFICERS IN ARMED FORCES,11,Level 4,Corporate managers and directors,3046,3443,523,1721,6489,2244
1172,SENIOR POLICE OFFICERS,11,Level 4,Corporate managers and directors,11085,24582,1141,7713,35667,8854
1173,"SENIOR OFFICERS IN FIRE, AMBULANCE, PRISON AND RELATED SERVICES",11,Level 4,Corporate managers and directors,4659,12538,204,3273,17197,3477
1181,HEALTH SERVICES AND PUBLIC HEALTH MANAGERS AND DIRECTORS,11,Level 4,Corporate managers and directors,18010,69715,1992,30279,87725,32271
1184,SOCIAL SERVICES MANAGERS AND DIRECTORS,11,Level 4,Corporate managers and directors,4580,13669,850,8846,18249,9696
1190,MANAGERS AND DIRECTORS IN RETAIL AND WHOLESALE,11,Level 4,Corporate managers and directors,23007,69151,864,15698,92158,16562
1211,MANAGERS AND PROPRIETORS IN AGRICULTURE AND HORTICULTURE,12,Level 3,Other managers and proprietors,7367,18800,1051,9607,26167,10658
1213,"MANAGERS AND PROPRIETORS IN FORESTRY, FISHING AND RELATED SERVICES",12,Level 3,Other managers and proprietors,5854,25672,702,10074,31526,10776
1221,HOTEL AND ACCOMMODATION MANAGERS AND PROPRIETORS,12,Level 3,Other managers and proprietors,14637,51098,1284,17816,65735,19100
1223,RESTAURANT AND CATERING ESTABLISHMENT MANAGERS AND PROPRIETORS,12,Level 3,Other managers and proprietors,14491,46781,1101,18273,61272,19374
1224,PUBLICANS AND MANAGERS OF LICENSED PREMISES,12,Level 3,Other managers and proprietors,9036,24015,258,5010,33051,5268
1225,LEISURE AND SPORTS MANAGERS,12,Level 3,Other managers and proprietors,4815,13877,349,3852,18692,4201
1226,TRAVEL AGENCY MANAGERS AND PROPRIETORS,12,Level 3,Other managers and proprietors,3113,7926,355,3970,11039,4325
1241,HEALTH CARE PRACTICE MANAGERS,12,Level 3,Other managers and proprietors,7036,25183,908,11978,32219,12886
1242,"RESIDENTIAL, DAY AND DOMICILIARY CARE MANAGERS AND PROPRIETORS",12,Level 3,Other managers and proprietors,17285,75090,2220,31086,92375,33306
1251,"PROPERTY, HOUSING AND ESTATE MANAGERS",12,Level 3,Other managers and proprietors,2630,11952,326,4212,14582,4538
1252,GARAGE MANAGERS AND PROPRIETORS,12,Level 3,Other managers and proprietors,49952,148800,1710,20531,198752,22241
1253,HAIRDRESSING AND BEAUTY SALON MANAGERS AND PROPRIETORS,12,Level 3,Other managers and proprietors,4146,9820,877,8365,13966,9242
1254,SHOPKEEPERS AND PROPRIETORS – WHOLESALE AND RETAIL,12,Level 3,Other managers and proprietors,24348,76937,1404,30399,101285,31803
1255,WASTE DISPOSAL AND ENVIRONMENTAL SERVICES MANAGERS,12,Level 3,Other managers and proprietors,30368,118267,1776,28025,148635,29801
1259,MANAGERS AND PROPRIETORS IN OTHER SERVICES NEC,12,Level 3,Other managers and proprietors,16953,46998,1005,18705,63951,19710
2111,CHEMICAL SCIENTISTS,21,Level 4,"Science, research, engineering and technology professionals",94669,410765,6148,132148,505434,138296
2112,BIOLOGICAL SCIENTISTS AND BIOCHEMISTS,21,Level 4,"Science, research, engineering and technology professionals",41447,168390,3392,64449,209837,67841
2113,PHYSICAL SCIENTISTS,21,Level 4,"Science, research, engineering and technology professionals",41056,201743,2716,97476,242799,100192
2114,SOCIAL AND HUMANITIES SCIENTISTS,21,Level 4,"Science, research, engineering and technology professionals",5551,37964,2373,60971,43515,63344
2119,NATURAL AND SOCIAL SCIENCE PROFESSIONALS N.E.C.,21,Level 4,"Science, research, engineering and technology professionals",13939,80998,3811,83560,94937,87371
2121,CIVIL ENGINEERS,21,Level 4,"Science, research, engineering and technology professionals",55786,250544,3054,60755,306330,63809
2122,MECHANICAL ENGINEERS,21,Level 4,"Science, research, engineering and technology professionals",101214,433473,4376,95094,534687,99470
2123,ELECTRICAL ENGINEERS,21,Level 4,"Science, research, engineering and technology professionals",99426,379573,4911,62656,478999,67567
2124,ELECTRONICS ENGINEERS,21,Level 4,"Science, research, engineering and technology professionals",77725,356245,5506,100498,433970,106004
2126,DESIGN AND DEVELOPMENT ENGINEERS,21,Level 4,"Science, research, engineering and technology professionals",63985,270076,4134,87524,334061,91658
2127,PRODUCTION AND PROCESS ENGINEERS,21,Level 4,"Science, research, engineering and technology professionals",78741,279988,4567,100226,358729,104793
2129,ENGINEERING PROFESSIONALS N.E.C.,21,Level 4,"Science, research, engineering and technology professionals",66910,358246,5985,141340,425156,147325
2133,IT SPECIALIST MANAGERS,21,Level 4,"Science, research, engineering and technology professionals",26027,124821,2531,48232,150848,50763
